age,mass,luminosity,temperature,gravity,radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
1,0.008,-6.417,438,4.272,0.108,29.37,25.31,22.73,19.93,19.89,23.77,16.18,14.5
1,0.009,-6.325,464,4.331,0.107,29.06,24.94,22.33,19.59,19.49,22.85,15.93,14.31
1,0.01,-6.235,491,4.383,0.107,28.74,24.55,21.89,19.23,19.07,21.9,15.65,14.11
1,0.012,-5.955,578,4.467,0.106,28.09,23.75,21.01,18.15,18.03,19.86,14.88,13.6
1,0.015,-5.835,628,4.587,0.103,27.86,23.47,20.72,17.7,17.62,19.05,14.56,13.38
1,0.02,-5.514,766,4.736,0.1,27.31,22.85,20.05,16.56,16.55,17.19,13.72,12.8
1,0.03,-5.071,1009,4.948,0.096,26.4,21.96,19.15,15.1,15.16,15.14,12.67,12.15
1,0.04,-4.696,1271,5.099,0.093,25.19,20.99,18.13,14.04,14.04,13.9,11.88,11.8
1,0.05,-4.374,1543,5.211,0.092,23.73,19.81,17.15,13.21,13.12,13.04,11.25,11.53
1,0.06,-4.106,1801,5.291,0.092,22.13,18.59,16.1,12.56,12.36,12.27,10.77,11.26
1,0.07,-3.829,2082,5.333,0.094,20.44,17.31,14.87,11.93,11.62,11.43,10.32,10.85
1,0.072,-3.772,2140,5.336,0.095,20.12,17.05,14.61,11.8,11.48,11.27,10.23,10.75
1,0.075,-3.679,2234,5.334,0.098,19.59,16.63,14.21,11.6,11.25,11.02,10.08,10.58
1,0.08,-3.527,2383,5.323,0.102,18.67,15.96,13.61,11.26,10.89,10.63,9.84,10.27
1,0.09,-3.268,2627,5.285,0.113,16.98,14.86,12.67,10.72,10.3,10.03,9.4,9.72
1,0.1,-3.083,2784,5.246,0.125,15.86,14.09,12.09,10.33,9.89,9.62,9.07,9.31
5,0.002,-8.57,129,3.698,0.105,60.05,54.63,49.68,38.16,34.52,53.62,23.33,20.8
5,0.003,-8.166,162,3.868,0.105,55.32,50.15,45.63,34.96,32.46,49.21,22.22,19.81
5,0.004,-7.867,193,3.994,0.105,50.68,45.8,41.76,32.14,30.52,45.15,21.28,18.92
5,0.005,-7.644,220,4.095,0.105,46.5,41.92,38.3,29.83,28.84,41.71,20.48,18.16
5,0.006,-7.469,244,4.18,0.104,42.71,38.43,35.18,27.8,27.34,38.67,19.78,17.49
5,0.007,-7.328,265,4.254,0.103,39.29,35.29,32.37,26.02,26,35.96,19.16,16.88
5,0.008,-7.217,284,4.318,0.103,36.31,32.57,29.93,24.5,24.85,33.65,18.64,16.36
5,0.009,-7.124,301,4.376,0.102,33.73,30.22,27.82,23.21,23.85,31.64,18.18,15.91
5,0.01,-7.015,322,4.429,0.101,33.05,29.47,27.06,22.74,23.3,30.49,17.91,15.71
