# Vega spectrum from Kurucz intensity models, resolution 500
# corrected to 10 pc distance assuming R = 2.5 Rsun
# flux units of erg/s/cm2/micron
Wavelength	Flux
0.996358	6.61905e-06
0.997357	6.57704e-06
0.998357	6.52371e-06
0.999358	6.45018e-06
1.00036	6.34999e-06
1.00136	6.20294e-06
1.00237	5.95569e-06
1.00337	5.53635e-06
1.00438	4.95944e-06
1.00538	4.71058e-06
1.00639	5.11862e-06
1.00740	5.62523e-06
1.00841	5.92418e-06
1.00942	6.07366e-06
1.01043	6.15365e-06
1.01145	6.18355e-06
1.01246	6.19567e-06
1.01348	6.21668e-06
1.01449	6.22395e-06
1.01551	6.21425e-06
1.01653	6.20052e-06
1.01755	6.18516e-06
1.01857	6.16739e-06
1.01959	6.15042e-06
1.02061	6.13345e-06
1.02163	6.11406e-06
1.02266	6.09467e-06
1.02368	6.07447e-06
1.02471	6.05427e-06
1.02574	6.03407e-06
1.02676	6.01468e-06
1.02779	5.99448e-06
1.02882	5.97347e-06
1.02985	5.95327e-06
1.03089	5.93307e-06
1.03192	5.91125e-06
1.03296	5.88702e-06
1.03399	5.86762e-06
1.03503	5.85066e-06
1.03606	5.82965e-06
1.03710	5.80702e-06
1.03814	5.78925e-06
1.03918	5.77066e-06
1.04023	5.75047e-06
1.04127	5.73107e-06
1.04231	5.71168e-06
1.04336	5.69148e-06
1.04440	5.66643e-06
1.04545	5.63250e-06
1.04650	5.61230e-06
1.04755	5.60503e-06
1.04860	5.59048e-06
1.04965	5.56867e-06
1.05070	5.54443e-06
1.05175	5.52504e-06
1.05281	5.50807e-06
1.05386	5.48787e-06
1.05492	5.46848e-06
1.05598	5.45312e-06
1.05704	5.43535e-06
1.05810	5.41272e-06
1.05916	5.39091e-06
1.06022	5.37475e-06
1.06128	5.35940e-06
1.06235	5.34162e-06
1.06341	5.32142e-06
1.06448	5.30365e-06
1.06554	5.28345e-06
1.06661	5.25759e-06
1.06768	5.20184e-06
1.06875	5.13074e-06
1.06982	5.13235e-06
1.07090	5.15174e-06
1.07197	5.14851e-06
1.07304	5.12670e-06
1.07412	5.11700e-06
1.07520	5.10407e-06
1.07627	5.08953e-06
1.07735	5.07660e-06
1.07843	5.05640e-06
1.07951	5.03539e-06
1.08060	5.01277e-06
1.08168	4.98611e-06
1.08276	4.95863e-06
1.08385	4.93763e-06
1.08494	4.91500e-06
1.08602	4.87703e-06
1.08711	4.82774e-06
1.08820	4.77522e-06
1.08929	4.69685e-06
1.09039	4.56514e-06
1.09148	4.34375e-06
1.09257	4.00359e-06
1.09367	3.65292e-06
1.09477	3.68928e-06
1.09586	4.04561e-06
1.09696	4.33325e-06
1.09806	4.49081e-06
1.09916	4.57484e-06
1.10026	4.61685e-06
1.10137	4.63382e-06
1.10247	4.63867e-06
1.10358	4.63948e-06
1.10468	4.63382e-06
1.10579	4.62494e-06
1.10690	4.61362e-06
1.10801	4.60150e-06
1.10912	4.58777e-06
1.11023	4.57403e-06
1.11134	4.55868e-06
1.11246	4.54252e-06
1.11357	4.52717e-06
1.11469	4.51343e-06
1.11581	4.49970e-06
1.11693	4.48435e-06
1.11805	4.46818e-06
1.11917	4.45203e-06
1.12029	4.43748e-06
1.12141	4.42294e-06
1.12254	4.40839e-06
1.12366	4.39304e-06
1.12479	4.37607e-06
1.12591	4.35911e-06
1.12704	4.34052e-06
1.12817	4.29851e-06
1.12930	4.25084e-06
1.13044	4.24922e-06
1.13157	4.26619e-06
1.13270	4.25326e-06
1.13384	4.23710e-06
1.13498	4.23468e-06
1.13611	4.22336e-06
1.13725	4.20720e-06
