#
# Generated by G. Mace, Wed Jul 25 15:03:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.4121804    9.8088E-01    4.5246E-02
   2.4149461    9.3064E-01    4.8169E-02
   2.4177091    9.1075E-01    4.7049E-02
   2.4204695    9.0423E-01    4.2995E-02
   2.4232278    8.6761E-01    3.9601E-02
   2.4259837    9.3336E-01    3.8374E-02
   2.4287376    9.2090E-01    4.2048E-02
   2.4314897    9.0533E-01    5.0778E-02
   2.4342401    8.6132E-01    5.2064E-02
   2.4369891    9.6494E-01    4.6839E-02
   2.4397364    8.8615E-01    4.7184E-02
   2.4424827    8.2966E-01    5.8796E-02
   2.4452281    8.5101E-01    7.1276E-02
   2.4479728    8.4062E-01    6.5266E-02
   2.4507170    8.3382E-01    5.7635E-02
   2.4534607    9.2105E-01    4.9575E-02
   2.4562042    9.5623E-01    4.6328E-02
   2.4589479    8.1159E-01    4.8716E-02
   2.4616921    9.1016E-01    5.1345E-02
   2.4644368    8.7467E-01    5.3030E-02
   2.4671822    8.3187E-01    6.1622E-02
   2.4699287    7.4620E-01    6.7618E-02
   2.4726765    8.0295E-01    6.6391E-02
   2.4754262    8.2387E-01    6.7302E-02
   2.4781775    8.4840E-01    7.9515E-02
   2.4809313    8.2134E-01    9.1136E-02
   2.4836872    7.4411E-01    9.8321E-02
   2.4864461    7.8756E-01    9.9861E-02
   2.4892082    7.3865E-01    1.0463E-01
   2.4919734    8.8284E-01    1.0156E-01
   2.4947426    7.2787E-01    9.0414E-02
   2.4975159    8.1447E-01    8.4168E-02
   2.5002935    8.0008E-01    9.4779E-02
   2.5030758    8.9890E-01    1.0732E-01
   2.5058634    8.5134E-01    1.1703E-01
   2.5086567    7.6561E-01    1.3134E-01
   2.5114555    6.2212E-01    1.6907E-01
   2.5142610    8.8128E-01    2.0551E-01
   2.5170729    8.9138E-01    1.8770E-01
   2.5198922    5.5492E-01    1.7045E-01
   2.5227189    9.3085E-01    2.0088E-01
   2.5255535    8.8490E-01    2.7432E-01
   2.5283966    9.0707E-01    3.9346E-01
   2.5312486    4.5161E-01    5.0090E-01
   2.5341098    9.5889E-01    5.0900E-01
   2.5369811    1.3246E+00    4.5756E-01
   2.5398626    8.8896E-01    4.9966E-01
   2.5427549    2.2873E+00    7.8084E-01
   2.5456586    3.4743E+00    1.2151E+00
   2.5485740           NaN           NaN
   2.5515018           NaN           NaN
