#
# Generated by G. Mace, Thu Mar  1 20:10:26 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.4799356    5.5392E-03    2.1723E-02
   2.4826908    2.1315E-02    2.4488E-02
   2.4854486   -9.1143E-04    2.7827E-02
   2.4882095   -4.8474E-03    2.7944E-02
   2.4909735   -6.8165E-02    2.8476E-02
   2.4937413    1.3665E-02    2.8719E-02
   2.4965129   -5.1810E-03    2.7293E-02
   2.4992890    3.3462E-02    2.5533E-02
   2.5020697   -8.3909E-03    2.6257E-02
   2.5048554   -4.4685E-02    2.9714E-02
   2.5076463   -1.4131E-03    3.2562E-02
   2.5104432    5.3073E-03    3.4068E-02
   2.5132463    1.1672E-02    3.9487E-02
   2.5160558    1.1808E-02    4.6682E-02
   2.5188723    8.5939E-02    4.7822E-02
   2.5216963    2.4032E-02    4.5587E-02
   2.5245280    3.9339E-02    4.4314E-02
   2.5273681   -3.0094E-02    4.9690E-02
   2.5302167   -1.3621E-02    6.4364E-02
   2.5330746   -9.1910E-02    7.8252E-02
   2.5359421    5.5688E-02    9.0160E-02
   2.5388198    7.5910E-02    8.1696E-02
   2.5417082   -2.7602E-02    7.8153E-02
   2.5446076    8.2062E-02    8.9779E-02
   2.5475187    2.5640E-01    1.2181E-01
