# SpeX prism spectrum of 2101+1756 obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
      2.46411    2.35242e-17    9.27034e-19
      2.46686    2.00887e-17    2.41525e-18
      2.46960    1.40886e-17    1.12896e-18
      2.47235    1.97187e-17    8.14441e-19
      2.47510    1.41983e-17    1.09060e-18
      2.47785    2.00568e-17    6.18806e-19
      2.48060    1.70949e-17    2.72792e-18
      2.48336    1.59442e-17    2.55821e-18
      2.48612    1.50918e-17    4.10505e-18
      2.48888    1.54243e-17    2.54594e-18
      2.49165    1.81713e-17    3.30830e-18
      2.49441    2.21847e-17    2.21663e-18
      2.49719    1.97742e-17    1.55055e-18
      2.49996    1.66162e-17    2.88803e-18
      2.50275    1.49886e-17    2.08560e-18
      2.50553    1.76888e-17    3.56145e-18
      2.50832    8.07868e-18    3.15419e-18
      2.51112    1.64643e-17    3.07889e-18
      2.51393    1.39843e-17    5.27355e-18
      2.51674    8.61017e-18    3.20938e-18
      2.51956    1.21597e-17    2.66747e-18
      2.52238    4.10006e-18    4.90507e-18
      2.52522    1.62372e-17    6.32732e-18
      2.52806    2.04315e-17    6.92245e-18
      2.53091    1.14107e-17    8.37653e-18
      2.53377    1.77022e-18    1.27160e-17
      2.53664    1.31703e-17    1.24109e-17
      2.53952    3.12982e-17    5.08002e-18
      2.54241    2.17226e-17    1.08499e-17
      2.54531   -3.78586e-18    4.75653e-18
      2.54823    1.98505e-17    1.32233e-17
      2.55115    3.93412e-17    3.12139e-17
      2.55409   -4.05824e-18    2.55513e-17
      2.55705    4.05504e-17    1.86906e-17
