# SpeX prism spectrum of denis2252-1730 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
      2.30331    1.52913e-16    1.58785e-18
      2.30624    1.51241e-16    1.34384e-18
      2.30916    1.54470e-16    8.35490e-19
      2.31208    1.53960e-16    1.55026e-18
      2.31500    1.53480e-16    1.21603e-18
      2.31791    1.50954e-16    1.73206e-18
      2.32082    1.47103e-16    1.09771e-18
      2.32372    1.44900e-16    1.94314e-18
      2.32661    1.43942e-16    1.92609e-18
      2.32950    1.43960e-16    1.82564e-18
      2.33239    1.41892e-16    1.78467e-18
      2.33527    1.45588e-16    1.61953e-18
      2.33815    1.45597e-16    1.36960e-18
      2.34102    1.42132e-16    1.88437e-18
      2.34388    1.43530e-16    1.69169e-18
      2.34674    1.47566e-16    7.64332e-19
      2.34960    1.45574e-16    1.45392e-18
      2.35245    1.44722e-16    2.08244e-18
      2.35530    1.41560e-16    2.25335e-18
      2.35814    1.40936e-16    1.56395e-18
      2.36098    1.43756e-16    1.11461e-18
      2.36381    1.39560e-16    1.18681e-18
      2.36664    1.40856e-16    1.77939e-18
      2.36947    1.39185e-16    2.18317e-18
      2.37229    1.36852e-16    2.61315e-18
      2.37510    1.39138e-16    2.43613e-18
      2.37792    1.38419e-16    1.11189e-18
      2.38072    1.39171e-16    1.22109e-18
      2.38353    1.35707e-16    2.34966e-18
      2.38633    1.35462e-16    2.31878e-18
      2.38912    1.37940e-16    1.40738e-18
      2.39192    1.38029e-16    1.56294e-18
      2.39470    1.38076e-16    1.79695e-18
      2.39749    1.35540e-16    9.13333e-19
      2.40027    1.38457e-16    1.93460e-18
      2.40305    1.37639e-16    2.49135e-18
      2.40583    1.35722e-16    2.11078e-18
      2.40860    1.29649e-16    1.50979e-18
      2.41137    1.33608e-16    1.70607e-18
      2.41413    1.27194e-16    1.94493e-18
      2.41690    1.28221e-16    3.43980e-18
      2.41966    1.33465e-16    2.91804e-18
      2.42242    1.25266e-16    8.47504e-19
      2.42517    1.26874e-16    2.87813e-18
      2.42793    1.25803e-16    1.55148e-18
      2.43068    1.23694e-16    3.65337e-18
      2.43343    1.18772e-16    3.62253e-18
      2.43618    1.21262e-16    3.29643e-18
      2.43893    1.19974e-16    2.06135e-18
      2.44168    1.20672e-16    1.24967e-18
      2.44442    1.14516e-16    1.87045e-18
      2.44717    1.11005e-16    2.11402e-18
      2.44991    1.08905e-16    2.88457e-18
      2.45265    1.09831e-16    3.27210e-18
      2.45540    1.15389e-16    1.77668e-18
      2.45814    1.12263e-16    1.41176e-18
      2.46089    1.09139e-16    2.49828e-18
      2.46363    1.13868e-16    2.19042e-18
      2.46637    1.02721e-16    1.04022e-18
      2.46912    8.31409e-17    9.13972e-18
      2.47187    9.88265e-17    1.56231e-18
      2.47462    9.38517e-17    1.87000e-18
      2.47737    9.75775e-17    3.13472e-18
      2.48012    9.43681e-17    4.49370e-18
      2.48288    9.99954e-17    3.94113e-18
      2.48563    1.00079e-16    5.05399e-18
      2.48840    9.08975e-17    3.52896e-18
      2.49116    8.72966e-17    6.45153e-18
      2.49393    9.24722e-17    4.47329e-18
      2.49670    9.65897e-17    3.86494e-18
      2.49948    1.00352e-16    3.97509e-18
      2.50226    8.34644e-17    2.03136e-18
      2.50504    9.91953e-17    1.79683e-18
      2.50783    8.91586e-17    5.99633e-18
      2.51063    8.49573e-17    4.78089e-18
      2.51344    9.16659e-17    1.61363e-17
      2.51625    8.96940e-17    1.78065e-17
      2.51906    7.71179e-17    1.07382e-17
      2.52189    8.34462e-17    1.78876e-17
      2.52472    1.03411e-16    1.37654e-17
      2.52756    8.94713e-17    8.48236e-18
      2.53041    3.05778e-17    1.21615e-17
      2.53327    9.80505e-17    1.77511e-17
      2.53614    4.13047e-17    5.76476e-17
      2.53901    9.76704e-17    3.08343e-17
      2.54190    8.73337e-17    4.76639e-17
      2.54480    6.84972e-17    3.15846e-17
      2.54772    2.13851e-16    1.52338e-16
      2.55064    9.61568e-19    1.33161e-16
      2.55358    2.33491e-16    1.42252e-16
      2.55653    3.76961e-17    1.56578e-16
      2.55949    2.58626e-17    3.40691e-17
